Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-06-02 19:42:00,66659.3,66776.0,66659.3,66776.0,14.34259,2026-06-02 19:42:59.999,956767.6855118,2646,10.0691,671823.9718881
2026-06-02 19:43:00,66776.0,66918.0,66776.0,66913.7,28.32958,2026-06-02 19:43:59.999,1894015.0522733,7810,16.91743,1131150.329812
2026-06-02 19:44:00,66913.69,66964.01,66902.0,66925.61,13.11647,2026-06-02 19:44:59.999,877888.7929426,4658,6.70324,448626.8786476
2026-06-02 19:45:00,66925.61,66957.74,66920.34,66942.06,23.83019,2026-06-02 19:45:59.999,1595304.6133002,5257,16.58499,1110315.7307167
2026-06-02 19:46:00,66942.06,66954.0,66874.14,66900.0,18.97096,2026-06-02 19:46:59.999,1269175.9012772,4961,9.39739,628603.8319647
2026-06-02 19:47:00,66900.0,67046.89,66900.0,67041.17,30.91506,2026-06-02 19:47:59.999,2071070.5195861,7262,19.35264,1296519.5943372
2026-06-02 19:48:00,67041.17,67100.0,67008.0,67099.99,15.54851,2026-06-02 19:48:59.999,1042638.6640316,6314,8.7956,589937.0260054
2026-06-02 19:49:00,67100.0,67160.0,67079.13,67153.56,12.93625,2026-06-02 19:49:59.999,868209.9707623,5632,7.83546,525891.226588
2026-06-02 19:50:00,67153.36,67288.0,67128.14,67264.0,61.82043,2026-06-02 19:50:59.999,4156224.7982741,9523,28.11896,1889965.4972215
2026-06-02 19:51:00,67264.0,67371.19,67250.0,67369.92,33.6431,2026-06-02 19:51:59.999,2264289.1434092,8457,24.01116,1616114.2388086
2026-06-02 19:52:00,67369.93,67390.0,67328.0,67357.1,24.43917,2026-06-02 19:52:59.999,1646349.2829234,5359,14.68091,988953.1760119
2026-06-02 19:53:00,67357.1,67498.0,67357.1,67375.99,55.85156,2026-06-02 19:53:59.999,3766246.411137,9393,35.47699,2392290.2572747
2026-06-02 19:54:00,67375.99,67376.0,67202.0,67202.0,27.28196,2026-06-02 19:54:59.999,1836334.9873142,6875,10.2749,691727.4989171
2026-06-02 19:55:00,67202.01,67216.0,67173.52,67184.0,15.86498,2026-06-02 19:55:59.999,1066140.4384924,5026,7.96181,535049.3059449
